     19218:	symbol=_res;  lookup in file=./test-dlfcn-now [0]
     19218:	symbol=_dl_find_dso_for_object;  lookup in file=./test-dlfcn-now [0]
     19218:	symbol=_dl_find_dso_for_object;  lookup in file=/lib/x86_64-linux-gnu/libdl.so.2 [0]
     19218:	symbol=_dl_find_dso_for_object;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     19218:	symbol=_dl_find_dso_for_object;  lookup in file=/lib64/ld-linux-x86-64.so.2 [0]
     19218:	symbol=_ITM_deregisterTMCloneTable;  lookup in file=./test-dlfcn-now [0]
     19218:	symbol=_ITM_deregisterTMCloneTable;  lookup in file=/lib/x86_64-linux-gnu/libdl.so.2 [0]
     19218:	symbol=_ITM_deregisterTMCloneTable;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     19218:	symbol=_ITM_deregisterTMCloneTable;  lookup in file=/lib64/ld-linux-x86-64.so.2 [0]
     19218:	symbol=_ITM_deregisterTMCloneTable;  lookup in file=./libtest-lib.so [0]
     19218:	symbol=_ITM_deregisterTMCloneTable;  lookup in file=/lib/x86_64-linux-gnu/libm.so.6 [0]
     19218:	symbol=_ITM_deregisterTMCloneTable;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     19218:	symbol=_ITM_deregisterTMCloneTable;  lookup in file=/lib64/ld-linux-x86-64.so.2 [0]
     19218:	symbol=errno;  lookup in file=./test-dlfcn-now [0]
     19218:	symbol=errno;  lookup in file=/lib/x86_64-linux-gnu/libdl.so.2 [0]
     19218:	symbol=errno;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     19218:	symbol=__gmon_start__;  lookup in file=./test-dlfcn-now [0]
     19218:	symbol=__gmon_start__;  lookup in file=/lib/x86_64-linux-gnu/libdl.so.2 [0]
     19218:	symbol=__gmon_start__;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     19218:	symbol=__gmon_start__;  lookup in file=/lib64/ld-linux-x86-64.so.2 [0]
     19218:	symbol=__gmon_start__;  lookup in file=./libtest-lib.so [0]
     19218:	symbol=__gmon_start__;  lookup in file=/lib/x86_64-linux-gnu/libm.so.6 [0]
     19218:	symbol=__gmon_start__;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     19218:	symbol=__gmon_start__;  lookup in file=/lib64/ld-linux-x86-64.so.2 [0]
     19218:	symbol=_rtld_global_ro;  lookup in file=./test-dlfcn-now [0]
     19218:	symbol=_rtld_global_ro;  lookup in file=/lib/x86_64-linux-gnu/libdl.so.2 [0]
     19218:	symbol=_rtld_global_ro;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     19218:	symbol=_rtld_global_ro;  lookup in file=/lib64/ld-linux-x86-64.so.2 [0]
     19218:	symbol=signgam;  lookup in file=./test-dlfcn-now [0]
     19218:	symbol=signgam;  lookup in file=/lib/x86_64-linux-gnu/libdl.so.2 [0]
     19218:	symbol=signgam;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     19218:	symbol=signgam;  lookup in file=/lib64/ld-linux-x86-64.so.2 [0]
     19218:	symbol=signgam;  lookup in file=./libtest-lib.so [0]
     19218:	symbol=signgam;  lookup in file=/lib/x86_64-linux-gnu/libm.so.6 [0]
     19218:	symbol=_LIB_VERSION;  lookup in file=./test-dlfcn-now [0]
     19218:	symbol=_LIB_VERSION;  lookup in file=/lib/x86_64-linux-gnu/libdl.so.2 [0]
     19218:	symbol=_LIB_VERSION;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     19218:	symbol=_LIB_VERSION;  lookup in file=/lib64/ld-linux-x86-64.so.2 [0]
     19218:	symbol=_LIB_VERSION;  lookup in file=./libtest-lib.so [0]
     19218:	symbol=_LIB_VERSION;  lookup in file=/lib/x86_64-linux-gnu/libm.so.6 [0]
     19218:	symbol=_Jv_RegisterClasses;  lookup in file=./test-dlfcn-now [0]
     19218:	symbol=_Jv_RegisterClasses;  lookup in file=/lib/x86_64-linux-gnu/libdl.so.2 [0]
     19218:	symbol=_Jv_RegisterClasses;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     19218:	symbol=_Jv_RegisterClasses;  lookup in file=/lib64/ld-linux-x86-64.so.2 [0]
     19218:	symbol=_Jv_RegisterClasses;  lookup in file=./libtest-lib.so [0]
     19218:	symbol=_Jv_RegisterClasses;  lookup in file=/lib/x86_64-linux-gnu/libm.so.6 [0]
     19218:	symbol=_Jv_RegisterClasses;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     19218:	symbol=_Jv_RegisterClasses;  lookup in file=/lib64/ld-linux-x86-64.so.2 [0]
     19218:	symbol=__signgam;  lookup in file=./test-dlfcn-now [0]
     19218:	symbol=__signgam;  lookup in file=/lib/x86_64-linux-gnu/libdl.so.2 [0]
     19218:	symbol=__signgam;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     19218:	symbol=__signgam;  lookup in file=/lib64/ld-linux-x86-64.so.2 [0]
     19218:	symbol=__signgam;  lookup in file=./libtest-lib.so [0]
     19218:	symbol=__signgam;  lookup in file=/lib/x86_64-linux-gnu/libm.so.6 [0]
     19218:	symbol=_ITM_registerTMCloneTable;  lookup in file=./test-dlfcn-now [0]
     19218:	symbol=_ITM_registerTMCloneTable;  lookup in file=/lib/x86_64-linux-gnu/libdl.so.2 [0]
     19218:	symbol=_ITM_registerTMCloneTable;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     19218:	symbol=_ITM_registerTMCloneTable;  lookup in file=/lib64/ld-linux-x86-64.so.2 [0]
     19218:	symbol=_ITM_registerTMCloneTable;  lookup in file=./libtest-lib.so [0]
     19218:	symbol=_ITM_registerTMCloneTable;  lookup in file=/lib/x86_64-linux-gnu/libm.so.6 [0]
     19218:	symbol=_ITM_registerTMCloneTable;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     19218:	symbol=_ITM_registerTMCloneTable;  lookup in file=/lib64/ld-linux-x86-64.so.2 [0]
     19218:	symbol=__cxa_finalize;  lookup in file=./test-dlfcn-now [0]
     19218:	symbol=__cxa_finalize;  lookup in file=/lib/x86_64-linux-gnu/libdl.so.2 [0]
     19218:	symbol=__cxa_finalize;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     19218:	symbol=stderr;  lookup in file=./test-dlfcn-now [0]
     19218:	symbol=__strtold_nan;  lookup in file=./test-dlfcn-now [0]
     19218:	symbol=__strtold_nan;  lookup in file=/lib/x86_64-linux-gnu/libdl.so.2 [0]
     19218:	symbol=__strtold_nan;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     19218:	symbol=__errno_location;  lookup in file=./test-dlfcn-now [0]
     19218:	symbol=__errno_location;  lookup in file=/lib/x86_64-linux-gnu/libdl.so.2 [0]
     19218:	symbol=__errno_location;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     19218:	symbol=qsort;  lookup in file=./test-dlfcn-now [0]
     19218:	symbol=qsort;  lookup in file=/lib/x86_64-linux-gnu/libdl.so.2 [0]
     19218:	symbol=qsort;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     19218:	symbol=__strtod_nan;  lookup in file=./test-dlfcn-now [0]
     19218:	symbol=__strtod_nan;  lookup in file=/lib/x86_64-linux-gnu/libdl.so.2 [0]
     19218:	symbol=__strtod_nan;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     19218:	symbol=__assert_fail;  lookup in file=./test-dlfcn-now [0]
     19218:	symbol=__assert_fail;  lookup in file=/lib/x86_64-linux-gnu/libdl.so.2 [0]
     19218:	symbol=__assert_fail;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     19218:	symbol=fputs;  lookup in file=./test-dlfcn-now [0]
     19218:	symbol=fputs;  lookup in file=/lib/x86_64-linux-gnu/libdl.so.2 [0]
     19218:	symbol=fputs;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     19218:	symbol=memset;  lookup in file=./test-dlfcn-now [0]
     19218:	symbol=memset;  lookup in file=/lib/x86_64-linux-gnu/libdl.so.2 [0]
     19218:	symbol=memset;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     19218:	symbol=__strtof_nan;  lookup in file=./test-dlfcn-now [0]
     19218:	symbol=__strtof_nan;  lookup in file=/lib/x86_64-linux-gnu/libdl.so.2 [0]
     19218:	symbol=__strtof_nan;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     19218:	symbol=memmove;  lookup in file=./test-dlfcn-now [0]
     19218:	symbol=memmove;  lookup in file=/lib/x86_64-linux-gnu/libdl.so.2 [0]
     19218:	symbol=memmove;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     19218:	symbol=fwrite;  lookup in file=./test-dlfcn-now [0]
     19218:	symbol=fwrite;  lookup in file=/lib/x86_64-linux-gnu/libdl.so.2 [0]
     19218:	symbol=fwrite;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     19218:	symbol=matherr;  lookup in file=./test-dlfcn-now [0]
     19218:	symbol=matherr;  lookup in file=/lib/x86_64-linux-gnu/libdl.so.2 [0]
     19218:	symbol=matherr;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     19218:	symbol=matherr;  lookup in file=/lib64/ld-linux-x86-64.so.2 [0]
     19218:	symbol=matherr;  lookup in file=./libtest-lib.so [0]
     19218:	symbol=matherr;  lookup in file=/lib/x86_64-linux-gnu/libm.so.6 [0]
     19218:	symbol=_ITM_deregisterTMCloneTable;  lookup in file=./test-dlfcn-now [0]
     19218:	symbol=_ITM_deregisterTMCloneTable;  lookup in file=/lib/x86_64-linux-gnu/libdl.so.2 [0]
     19218:	symbol=_ITM_deregisterTMCloneTable;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     19218:	symbol=_ITM_deregisterTMCloneTable;  lookup in file=/lib64/ld-linux-x86-64.so.2 [0]
     19218:	symbol=_ITM_deregisterTMCloneTable;  lookup in file=./libtest-lib.so [0]
     19218:	symbol=_ITM_deregisterTMCloneTable;  lookup in file=/lib/x86_64-linux-gnu/libm.so.6 [0]
     19218:	symbol=_ITM_deregisterTMCloneTable;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     19218:	symbol=_ITM_deregisterTMCloneTable;  lookup in file=/lib64/ld-linux-x86-64.so.2 [0]
     19218:	symbol=__gmon_start__;  lookup in file=./test-dlfcn-now [0]
     19218:	symbol=__gmon_start__;  lookup in file=/lib/x86_64-linux-gnu/libdl.so.2 [0]
     19218:	symbol=__gmon_start__;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     19218:	symbol=__gmon_start__;  lookup in file=/lib64/ld-linux-x86-64.so.2 [0]
     19218:	symbol=__gmon_start__;  lookup in file=./libtest-lib.so [0]
     19218:	symbol=__gmon_start__;  lookup in file=/lib/x86_64-linux-gnu/libm.so.6 [0]
     19218:	symbol=__gmon_start__;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     19218:	symbol=__gmon_start__;  lookup in file=/lib64/ld-linux-x86-64.so.2 [0]
     19218:	symbol=value;  lookup in file=./test-dlfcn-now [0]
     19218:	symbol=value;  lookup in file=/lib/x86_64-linux-gnu/libdl.so.2 [0]
     19218:	symbol=value;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     19218:	symbol=value;  lookup in file=/lib64/ld-linux-x86-64.so.2 [0]
     19218:	symbol=value;  lookup in file=./libtest-lib.so [0]
     19218:	symbol=_Jv_RegisterClasses;  lookup in file=./test-dlfcn-now [0]
     19218:	symbol=_Jv_RegisterClasses;  lookup in file=/lib/x86_64-linux-gnu/libdl.so.2 [0]
     19218:	symbol=_Jv_RegisterClasses;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     19218:	symbol=_Jv_RegisterClasses;  lookup in file=/lib64/ld-linux-x86-64.so.2 [0]
     19218:	symbol=_Jv_RegisterClasses;  lookup in file=./libtest-lib.so [0]
     19218:	symbol=_Jv_RegisterClasses;  lookup in file=/lib/x86_64-linux-gnu/libm.so.6 [0]
     19218:	symbol=_Jv_RegisterClasses;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     19218:	symbol=_Jv_RegisterClasses;  lookup in file=/lib64/ld-linux-x86-64.so.2 [0]
     19218:	symbol=_ITM_registerTMCloneTable;  lookup in file=./test-dlfcn-now [0]
     19218:	symbol=_ITM_registerTMCloneTable;  lookup in file=/lib/x86_64-linux-gnu/libdl.so.2 [0]
     19218:	symbol=_ITM_registerTMCloneTable;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     19218:	symbol=_ITM_registerTMCloneTable;  lookup in file=/lib64/ld-linux-x86-64.so.2 [0]
     19218:	symbol=_ITM_registerTMCloneTable;  lookup in file=./libtest-lib.so [0]
     19218:	symbol=_ITM_registerTMCloneTable;  lookup in file=/lib/x86_64-linux-gnu/libm.so.6 [0]
     19218:	symbol=_ITM_registerTMCloneTable;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     19218:	symbol=_ITM_registerTMCloneTable;  lookup in file=/lib64/ld-linux-x86-64.so.2 [0]
     19218:	symbol=__cxa_finalize;  lookup in file=./test-dlfcn-now [0]
     19218:	symbol=__cxa_finalize;  lookup in file=/lib/x86_64-linux-gnu/libdl.so.2 [0]
     19218:	symbol=__cxa_finalize;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     19218:	symbol=stderr;  lookup in file=./test-dlfcn-now [0]
     19218:	symbol=fprintf;  lookup in file=./test-dlfcn-now [0]
     19218:	symbol=fprintf;  lookup in file=/lib/x86_64-linux-gnu/libdl.so.2 [0]
     19218:	symbol=fprintf;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     19218:	symbol=undefinedFn;  lookup in file=./test-dlfcn-now [0]
     19218:	symbol=undefinedFn;  lookup in file=/lib/x86_64-linux-gnu/libdl.so.2 [0]
     19218:	symbol=undefinedFn;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     19218:	symbol=undefinedFn;  lookup in file=/lib64/ld-linux-x86-64.so.2 [0]
     19218:	symbol=undefinedFn;  lookup in file=./libtest-lib.so [0]
     19218:	symbol=undefinedFn;  lookup in file=/lib/x86_64-linux-gnu/libm.so.6 [0]
     19218:	symbol=undefinedFn;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     19218:	symbol=undefinedFn;  lookup in file=/lib64/ld-linux-x86-64.so.2 [0]
     19218:	./libtest-lib.so: error: symbol lookup error: undefined symbol: undefinedFn (fatal)
After dlopen(RTLD_NOW)
Failed to load test-lib!
     19218:	
     19218:	calling fini: ./test-dlfcn-now [0]
     19218:	
     19218:	
     19218:	calling fini: /lib/x86_64-linux-gnu/libdl.so.2 [0]
     19218:	
     19218:	symbol=_dl_addr;  lookup in file=./test-dlfcn-now [0]
     19218:	symbol=_dl_addr;  lookup in file=/lib/x86_64-linux-gnu/libdl.so.2 [0]
     19218:	symbol=_dl_addr;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     19218:	symbol=free;  lookup in file=./test-dlfcn-now [0]
     19218:	symbol=free;  lookup in file=/lib/x86_64-linux-gnu/libdl.so.2 [0]
     19218:	symbol=free;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
